ID,Titre,Auteur,Éditeur,Année,Type,Genre,Note,À vérifier,Photos,Résumé
2,Watchmen : L'Intégrale 2,"Alan Moore, Dave Gibbons",Urban Comics,,BD / Roman graphique,Comics / Science-fiction,,,PXL_20260522_080947466.jpg / image-1779436904709.jpg,"Second tome de l'intégrale du célèbre comic book d'Alan Moore et Dave Gibbons, publié en France par Urban Comics. Watchmen déconstruit le mythe du super-héros dans une Amérique alternative des années 1980 menacée par la guerre froide. Le récit suit d'anciens justiciers masqués confrontés au meurtre de l'un des leurs, mêlant intrigue policière, réflexion politique et morale. Œuvre majeure du roman graphique, saluée pour sa narration complexe et sa profondeur."
3,Soie,Alessandro Baricco,Folio (Gallimard),1975,Roman,Littérature étrangère,,,IMG-20260529-WA0015.jpg / PXL_20260522_080923036.jpg,"Court roman d'Alessandro Baricco. Au XIXe siècle, Hervé Joncour, négociant français en vers à soie, voyage jusqu'au Japon pour acheter des œufs de ver à soie. Là-bas, il est fasciné par une mystérieuse jeune femme au visage non oriental, dans l'entourage d'un seigneur. De retour en France, il est habité par ce désir muet et impossible. Récit épuré, poétique et sensuel sur le désir, l'absence et le silence."
4,Bit of a Blur,Alex James,"Little, Brown Book Group Limited",2007,Autobiographie,Musique / Biographie,,,IMG-20260529-WA0020.jpg / PXL_20260522_080947466.jpg,"Mémoires d'Alex James, bassiste du groupe de rock britannique Blur. Il y raconte l'ascension de la Britpop dans les années 1990, la vie de tournée, les excès, la célébrité, puis sa reconversion vers une vie plus rangée à la campagne. Témoignage personnel et souvent drôle sur une époque marquante de la musique anglaise."
5,Le Comte de Monte-Cristo I,Alexandre Dumas,GF (Garnier-Flammarion),2017,Roman,Littérature française,,,IMG-20260529-WA0023.jpg / PXL_20260522_080839965.jpg,"Premier tome du célèbre roman-feuilleton d'Alexandre Dumas. Edmond Dantès, jeune marin promis à un brillant avenir, est victime d'un complot et emprisonné injustement au château d'If. Ce volume couvre son arrestation, sa longue captivité, sa rencontre avec l'abbé Faria et son évasion, prélude à sa transformation en comte de Monte-Cristo assoiffé de vengeance. Un grand classique de l'aventure et de la justice."
6,Fanfan,Alexandre Jardin,Le Livre de Poche,1990,Roman,Littérature française,3.7,,IMG-20260529-WA0019.jpg / PXL_20260522_080923036.jpg,"Roman d'Alexandre Jardin. Alexandre tombe amoureux de Fanfan mais, terrifié à l'idée que la passion s'éteigne, refuse de consommer leur relation pour maintenir le désir et l'éternel commencement amoureux. Une comédie sentimentale enlevée et fantaisiste sur la peur de l'usure du couple. Le livre a connu un grand succès et a été adapté au cinéma."
7,L'ile des Gauchers,Alexandre Jardin,Folio,1999,Roman,Littérature française,,,IMG-20260529-WA0019.jpg / PXL_20260522_080839965.jpg,"Roman d'Alexandre Jardin. Il imagine une île peuplée de gauchers, où la société tout entière est organisée pour cultiver l'art d'aimer et préserver la passion amoureuse. Une fable romanesque et utopique, dans la veine fantaisiste de l'auteur, sur l'amour et le désir."
8,Le Zèbre,Alexandre Jardin,Le Livre de Poche,1988,Roman,Littérature française,2.0,,IMG-20260529-WA0019.jpg / PXL_20260522_080923036.jpg,"Roman d'Alexandre Jardin, prix Femina 1988. Gaspard Sauvage, notaire fantasque surnommé « le Zèbre », multiplie les stratagèmes et les mises en scène extravagantes pour raviver la passion avec sa femme Camille, lassée par les années de mariage. Comédie tendre et inventive sur l'amour conjugal et la fantaisie comme remède à la routine. Adapté au cinéma."
9,Le Vol des colombes,Amandine Roche,Robert Laffont,2005,Document,Biographie / Spiritualité,,oui,IMG-20260529-WA0012.jpg / IMG-20260529-WA0018.jpg / PXL_20260522_080939460.jpg,"Ouvrage d'Amandine Roche consacré aux figures de la non-violence et de la paix. L'autrice, spécialiste des droits humains, retrace des parcours d'engagement pour la paix dans le monde. Description fondée sur le titre et l'auteur."
10,Mercure,Amelie Nothomb,Le Livre de Poche,1998,Roman,Littérature française,4.2,,IMG-20260529-WA0025.jpg / PXL_20260522_080833969.jpg,"Roman d'Amélie Nothomb. Sur une île isolée, un vieil homme, Omer Loncours, retient une jeune femme, Hazel, en lui faisant croire qu'elle est défigurée et en la privant de tout miroir. L'arrivée d'une infirmière bouleverse cet huis clos fondé sur le mensonge et l'emprise. Roman sur la manipulation, la beauté et le regard, publié avec deux fins différentes au choix du lecteur."
11,Les arbres voyageurs,Andrée Corvol,Robert Laffont,2005,Essai,Nature / Histoire,,,IMG-20260529-WA0014.jpg / PXL_20260522_080951230.jpg,"Ouvrage d'Andrée Corvol, historienne des forêts, consacré aux arbres venus d'ailleurs. Il retrace l'histoire de l'introduction et de l'acclimatation en Europe d'espèces végétales rapportées par les explorateurs et botanistes, et le rôle de ces « arbres voyageurs » dans nos paysages. Un essai d'histoire de la nature et des sciences."
